"","City","Type","OS_reference","Points.Distance"
"246","Bristol","bus_stop","21796347",2.86711010757526
"247","Bristol","bus_stop","21795024",1.90651455335785
"248","Bristol","bus_stop","21795095",5.79498797191066
"249","Bristol","bus_stop","21795106",2.26187286207242
"250","Bristol","bus_stop","21795244",8.899162106071
"251","Bristol","bus_stop","21795274",5.73938300568191
"252","Bristol","bus_stop","21795322",5.75131614246166
"253","Bristol","bus_stop","21795333",5.7605749352657
"254","Bristol","bus_stop","21795156",178.78422947151
"255","Bristol","bus_stop","21795909",4.84762439412195
"256","Bristol","bus_stop","21796229",5.78990258892419
"257","Bristol","bus_stop","21796359",15.7037664412399
"258","Bristol","bus_stop","21795733",5.80105853131814
"259","Bristol","bus_stop","21795802",5.79512477161255
"260","Bristol","bus_stop","21795823",4.83335632317785
"261","Bristol","bus_stop","21795903",4.66265014312223
"262","Bristol","bus_stop","21795934",3.04839204138114
"263","Bristol","bus_stop","21795977",30.1154670845832
"264","Bristol","bus_stop","21796476",6.22550933785635
"265","Bristol","bus_stop","21796630",5.53186924706959
"266","Bristol","bus_stop","21796320",13.5967772754571
"267","Bristol","bus_stop","21796379",12.882755827987
"268","Bristol","bus_stop","21796317",16.1059828528358
"269","Bristol","bus_stop","21796430",5.81622807290521
"270","Bristol","bus_stop","21795623",7.17889130383766
"271","Bristol","bus_stop","21795647",5.80228077917359
"272","Bristol","bus_stop","21795662",5.8019713772518
"273","Bristol","bus_stop","21795673",5.8077756654496
"274","Bristol","bus_stop","21795702",4.46427906832354
"275","Bristol","bus_stop","21795766",5.80513336052244
"276","Bristol","bus_stop","21795784",254.510391491232
"277","Bristol","bus_stop","21795803",5.79540014457538
"278","Bristol","bus_stop","21796018",4.62045265971256
"279","Bristol","bus_stop","21796032",5.80275218858401
"280","Bristol","bus_stop","21796472",6.18639300049345
"281","Bristol","bus_stop","21796561",10.5987965166323
"282","Bristol","bus_stop","22107694",6.65501443198346
"283","Bristol","bus_stop","22107631",35.0488055553353
"284","Bristol","bus_stop","22107680",11.8765016103419
"285","Bristol","bus_stop","22107643",5.80469174560437
"286","Bristol","bus_stop","22107691",5.80341756276346
"287","Bristol","bus_stop","22107624",114.362949270778
"288","Bristol","bus_stop","21795235",5.76383779817419
"289","Bristol","bus_stop","21795317",5.75376926506033
"290","Bristol","bus_stop","21795519",5.74831735683239
"291","Bristol","bus_stop","21796397",18.1784571126479
"292","Bristol","bus_stop","21795941",15.778568364358
"293","Bristol","bus_stop","21795084",10.4827501692809
"294","Bristol","bus_stop","21795542",11.4624436525583
"295","Bristol","bus_stop","21795801",104.130474500406
"296","Bristol","bus_stop","21795921",5.76722885050607
"297","Bristol","bus_stop","21795937",39.5155926713024
"298","Bristol","bus_stop","21796026",5.79781129480298
"299","Bristol","bus_stop","21796151",5.76802077847726
"300","Bristol","bus_stop","21796653",193.066804767974
"301","Bristol","bus_stop","21795206",5.77053842190677
"302","Bristol","bus_stop","21795432",5.75675045158162
"303","Bristol","bus_stop","21795606",5.60956394117508
"304","Bristol","bus_stop","21796318",18.2885094380889
"305","Bristol","bus_stop","21796110",5.80883631227893
"306","Bristol","bus_stop","21796579",5.79998772857341
"307","Bristol","bus_stop","21796737",5.61598657403814
"308","Bristol","bus_stop","21795251",5.75718284388038
"309","Bristol","bus_stop","21795503",5.76937396388073
"310","Bristol","bus_stop","21795563",5.77192489347431
"311","Bristol","bus_stop","21796337",5.78671646336428
"312","Bristol","bus_stop","21796405",11.815006792808
"313","Bristol","bus_stop","21796121",5.82061513513086
"314","Bristol","bus_stop","21796221",5.74523350605692
"315","Bristol","bus_stop","22107619",25.5622367850574
"316","Bristol","bus_stop","21795777",7.14589170474195
"317","Bristol","bus_stop","21796518",5.81497060366906
"318","Bristol","bus_stop","22107660",17.8129954400795
"319","Bristol","bus_stop","21795261",5.74447461271061
"320","Bristol","bus_stop","21795411",5.7495535558692
"321","Bristol","bus_stop","21795421",5.75676668824846
"322","Bristol","bus_stop","21795453",7.58818561615589
"323","Bristol","bus_stop","21795499",5.76507143151683
"324","Bristol","bus_stop","21795532",5.75930276389849
"325","Bristol","bus_stop","21796447",17.0128263734714
"326","Bristol","bus_stop","21796163",5.79056604119213
"327","Bristol","bus_stop","21795214",5.60238768047393
"328","Bristol","bus_stop","21795474",5.75708367754752
"329","Bristol","bus_stop","21796058",7.35795519075244
"330","Bristol","bus_stop","21796587",5.45064684172802
"331","Bristol","bus_stop","21795527",5.75970436523913
"332","Bristol","bus_stop","21795945",7.13496259934925
"333","Bristol","bus_stop","21796238",3.58842272978339
"334","Bristol","bus_stop","21796643",5.58065096003663
"335","Bristol","bus_stop","21796692",5.77265364668741
"336","Bristol","bus_stop","21796717",5.66234499257079
"337","Bristol","bus_stop","22107646",5.81368773685098
"338","Bristol","bus_stop","22107652",5.79718830195064
"339","Bristol","bus_stop","21795269",5.73695699823939
"340","Bristol","bus_stop","21796129",5.7703506340021
"341","Bristol","bus_stop","26654421",7.80439848776459
"342","Bristol","bus_stop","26654420",15.4255283489294
"343","Bristol","bus_stop","31263899",5.77739446139403
"344","Bristol","bus_stop","34144073",5.76694842958945
"345","Bristol","bus_stop","34141586",5.74464971263521
"346","Bristol","bus_stop","37093405",5.78311196015236
"347","Bristol","bus_stop","103314261",138.264992065523
"348","Bristol","bus_stop","80961238",103.361741559273
"349","Bristol","bus_stop","31263902",7.93989091369663
"350","Bristol","bus_stop","32815414",81.2442747572777
"351","Bristol","bus_stop","31263897",5.76430219015166
"352","Bristol","bus_stop","37093402",5.75820430432392
"353","Bristol","bus_stop","37093404",10.4682973083299
"354","Bristol","bus_stop","80961650",9.06894544785536
"355","Bristol","bus_stop","37093399",2.07588610867413
"356","Bristol","bus_stop","31263900",5.77450719324355
"357","Bristol","bus_stop","32815415",46.8373060946064
"358","Bristol","bus_stop","32998343",5.80099153244147
