@id,@lon,@lat,crossing,step_count,surface,incline,highway,step,sidewalk,any
1108187354,-3.1868964,51.4599879,zebra,,,,crossing,,,crossing
1108187767,-3.1866065,51.4566008,zebra,,,,crossing,,,crossing
1108187936,-3.1872822,51.4592563,zebra,,,,crossing,,,crossing
1108188100,-3.187504,51.4595234,zebra,,,,crossing,,,crossing
1108188291,-3.1873219,51.4602042,zebra,,,,crossing,,,crossing
1108188396,-3.187925,51.4597379,zebra,,,,crossing,,,crossing
1108188771,-3.1860359,51.4566764,zebra,,,,crossing,,,crossing
1108440907,-3.1884981,51.4784011,uncontrolled,,,,crossing,,,crossing
1110303863,-3.1872729,51.4623242,zebra,,,,crossing,,,crossing
1110303877,-3.1876881,51.4624244,zebra,,,,crossing,,,crossing
1113926018,-3.2134814,51.488965,uncontrolled,,,,crossing,,,crossing
1117732807,-3.2191173,51.4892079,uncontrolled,,,,crossing,,,crossing
1123292809,-3.205999,51.4991292,zebra,,,,crossing,,,crossing
1123292862,-3.2060736,51.49899,zebra,,,,crossing,,,crossing
1123292942,-3.2075574,51.4983046,zebra,,,,crossing,,,crossing
1123293032,-3.2059272,51.49927,zebra,,,,crossing,,,crossing
1132658067,-3.1674259,51.4794732,traffic_signals,,,,crossing,,,crossing
1132658075,-3.1673951,51.479586,traffic_signals,,,,crossing,,,crossing
1141936913,-3.1292394,51.5347017,zebra,,,,crossing,,,crossing
1141937108,-3.1284823,51.535927,zebra,,,,crossing,,,crossing
1141937215,-3.128874,51.5360796,zebra,,,,crossing,,,crossing
1141937270,-3.1284805,51.5354317,zebra,,,,crossing,,,crossing
1147573502,-3.2469452,51.4964495,zebra,,,,crossing,,,crossing
1151949617,-3.1765738,51.5171105,traffic_signals,,,,crossing,,,crossing
1170686659,-3.1901078,51.4939296,traffic_signals,,,,crossing,,,crossing
1170752648,-3.1884983,51.492581,traffic_signals,,,,crossing,,,crossing
1185634888,-3.2375036,51.503365,uncontrolled,,,,crossing,,,crossing
1188903339,-3.2119993,51.4792738,uncontrolled,,,,crossing,,,crossing
1205951889,-3.168364,51.4703121,pelican,,,,crossing,,,crossing
1206401877,-3.1681723,51.4703079,pelican,,,,crossing,,,crossing
1206401909,-3.1688799,51.4709918,pelican,,,,crossing,,,crossing
1206401937,-3.1684852,51.4707397,pelican,,,,crossing,,,crossing
1206401954,-3.1686931,51.4707489,pelican,,,,crossing,,,crossing
1206401958,-3.1686831,51.470987,pelican,,,,crossing,,,crossing
1206442529,-3.1701962,51.4734414,traffic_signals,,,,crossing,,,crossing
1233711014,-3.1737785,51.4845219,traffic_signals,,,,crossing,,,crossing
1233711069,-3.1738385,51.4846198,traffic_signals,,,,crossing,,,crossing
1233811732,-3.1643576,51.4850367,traffic_signals,,,,crossing,,,crossing
1233811761,-3.1645488,51.4850715,traffic_signals,,,,crossing,,,crossing
1235796821,-3.1733949,51.4757845,traffic_signals,,,,crossing,,,crossing
1242996406,-3.2058955,51.5094856,uncontrolled,,,,crossing,,,crossing
1291575705,-3.1560049,51.4795148,traffic_signals,,,,crossing,,,crossing
1297126608,-3.187517,51.5007629,traffic_signals,,,,crossing,,,crossing
1297250321,-3.1890422,51.5016972,traffic_signals,,,,crossing,,,crossing
1318719406,-3.2693699,51.4741679,zebra,,,,crossing,,,crossing
1366762423,-3.1943528,51.5380762,uncontrolled,,,,crossing,,,crossing
1394718094,-3.1631097,51.5102434,zebra,,,,crossing,,,crossing
1430327728,-3.178232,51.483319,traffic_signals,,,,crossing,,,crossing
1496364568,-3.1696201,51.4627514,uncontrolled,,,,crossing,,,crossing
1496485293,-3.1698088,51.4761997,uncontrolled,,,,crossing,,,crossing
1500187251,-3.1620156,51.4676579,uncontrolled,,,,crossing,,,crossing
1559367734,-3.1953975,51.4803735,traffic_signals,,,,crossing,,,crossing
1671794397,-3.1937907,51.5385088,uncontrolled,,,,crossing,,,crossing
1855627697,-3.2166528,51.506663,zebra,,,,crossing,,,crossing
1863193344,-3.2246022,51.515673,zebra,,,,crossing,,,crossing
1863193347,-3.2248151,51.5158081,zebra,,,,crossing,,,crossing
1863193349,-3.2242076,51.5158549,zebra,,,,crossing,,,crossing
1893886212,-3.1850626,51.4810625,traffic_signals,,,,crossing,,,crossing
1956207846,-3.1808295,51.4795248,traffic_signals,,,,crossing,,,crossing
1956207861,-3.1833334,51.4808932,pelican,,,,crossing,,,crossing
1973897002,-3.2342649,51.4762255,traffic_signals,,,,crossing,,,crossing
1998891340,-3.2545366,51.4782006,zebra,,,,crossing,,,crossing
2022293256,-3.2069856,51.4727248,uncontrolled,,,,crossing,,,crossing
2274253354,-3.2137232,51.4919893,traffic_signals,,,,crossing,,,crossing
2274253358,-3.2138255,51.492101,traffic_signals,,,,crossing,,,crossing
2331802787,-3.21694,51.5267742,traffic_signals,,,,crossing,,,crossing
2364902387,-3.1506669,51.4910315,traffic_signals,,,,crossing,,,crossing
2364902390,-3.1504859,51.491049,traffic_signals,,,,crossing,,,crossing
2364902391,-3.1504363,51.4911651,traffic_signals,,,,crossing,,,crossing
2448076648,-3.24175,51.4783483,traffic_signals,,,,crossing,,,crossing
2906971237,-3.1742588,51.4768722,traffic_signals,,,,crossing,,,crossing
