"","X.version","X.timestamp","city"
"644",1,3402,"Manchester"
"645",2,2282,"Manchester"
"646",7,1276,"Manchester"
"647",3,1859,"Manchester"
"648",3,2713,"Manchester"
"649",3,1138,"Manchester"
"650",4,1094,"Manchester"
"651",6,1299,"Manchester"
"652",4,3016,"Manchester"
"653",4,3003,"Manchester"
"654",2,496,"Manchester"
"655",4,1053,"Manchester"
"656",4,361,"Manchester"
"657",4,1308,"Manchester"
"658",7,115,"Manchester"
"659",4,1534,"Manchester"
"660",4,134,"Manchester"
"661",5,127,"Manchester"
"662",3,127,"Manchester"
"663",3,127,"Manchester"
"664",5,127,"Manchester"
"665",8,127,"Manchester"
"666",5,2152,"Manchester"
"667",6,2149,"Manchester"
"668",2,2014,"Manchester"
"669",6,1984,"Manchester"
"670",24,137,"Manchester"
"671",7,134,"Manchester"
"672",2,2014,"Manchester"
"673",2,2014,"Manchester"
"674",2,2014,"Manchester"
"675",2,2014,"Manchester"
"676",7,133,"Manchester"
"677",4,137,"Manchester"
"678",2,2175,"Manchester"
"679",5,1983,"Manchester"
"680",2,2014,"Manchester"
"681",1,3375,"Manchester"
"682",3,537,"Manchester"
"683",1,3371,"Manchester"
"684",2,2436,"Manchester"
"685",2,3266,"Manchester"
"686",5,384,"Manchester"
"687",5,2643,"Manchester"
"688",7,448,"Manchester"
"689",4,2494,"Manchester"
"690",5,984,"Manchester"
"691",3,2422,"Manchester"
"692",4,2422,"Manchester"
"693",5,2261,"Manchester"
"694",4,1130,"Manchester"
"695",5,976,"Manchester"
"696",6,976,"Manchester"
"697",1,3366,"Manchester"
"698",1,3366,"Manchester"
"699",1,3366,"Manchester"
"700",3,1280,"Manchester"
"701",8,2829,"Manchester"
"702",4,115,"Manchester"
"703",4,484,"Manchester"
"704",3,484,"Manchester"
"705",3,1130,"Manchester"
"706",3,2766,"Manchester"
"707",4,1281,"Manchester"
"708",7,124,"Manchester"
"709",1,3355,"Manchester"
"710",2,1094,"Manchester"
"711",3,3045,"Manchester"
"712",6,2948,"Manchester"
"713",3,3213,"Manchester"
"714",3,2715,"Manchester"
"715",5,3185,"Manchester"
"716",8,2604,"Manchester"
"717",5,2604,"Manchester"
"718",9,1330,"Manchester"
"719",1,3349,"Manchester"
"720",1,3349,"Manchester"
"721",1,3349,"Manchester"
"722",1,3349,"Manchester"
"723",1,3349,"Manchester"
"724",1,3349,"Manchester"
"725",4,202,"Manchester"
"726",6,1090,"Manchester"
"727",6,2850,"Manchester"
"728",12,137,"Manchester"
"729",1,3346,"Manchester"
"730",1,3346,"Manchester"
"731",4,725,"Manchester"
"732",4,2954,"Manchester"
"733",2,3029,"Manchester"
"734",1,3345,"Manchester"
"735",2,2799,"Manchester"
"736",2,2799,"Manchester"
"737",5,120,"Manchester"
"738",5,1320,"Manchester"
"739",1,3344,"Manchester"
"740",1,3344,"Manchester"
"741",2,3030,"Manchester"
