"","City","Type","Location","Points.Distance"
"183","Bristol","bus_stop","13","1.03701827930764"
"184","Bristol","bus_stop","14","3.35059439004903"
"185","Bristol","bus_stop","15","12.8062870936987"
"186","Bristol","bus_stop","16","0.768675344777808"
"187","Bristol","bus_stop","17","1.06669603716595"
"188","Bristol","bus_stop","18","11.7380002650001"
"189","Bristol","bus_stop","19","4.21133225603515"
"190","Bristol","bus_stop","20","2.16866850827385"
"191","Bristol","bus_stop","21","3.2234443163377"
"192","Bristol","bus_stop","22","34.6422967169039"
"193","Bristol","bus_stop","23","2.91266057692344"
"194","Bristol","bus_stop","24","70.2057065415708"
"195","Bristol","bus_stop","25","26.8109231210635"
"196","Bristol","bus_stop","26","0.997861105635546"
"197","Bristol","bus_stop","27","8.16894083883752"
"198","Bristol","bus_stop","28","8.87780628658368"
"199","Bristol","bus_stop","29","27.038605702421"
"200","Bristol","bus_stop","30","1.45874899922777"
"201","Bristol","bus_stop","31","2.99134981509841"
"202","Bristol","call_booth","1","10.2995136541514"
"203","Bristol","call_booth","2","0.561226116222029"
"204","Bristol","call_booth","3","84.9200882508608"
"205","Bristol","call_booth","4","16.0868273588296"
"206","Bristol","lamp_post","1","560.969552849495"
"207","Bristol","lamp_post","2","555.68095600002"
"208","Bristol","mailbox","1","2.59907135955283"
"209","Bristol","railway_station","1","14.1800243629942"
"210","Bristol","railway_station","2","86.5079907136106"
"211","Bristol","steps","1","26.137408883488"
"212","Bristol","steps","2","2.01873758822631"
"213","Bristol","steps","3","1.38287021121486"
"214","Bristol","taxi_rank","1","2.65839766667791"
"215","Bristol","taxi_rank","2","57.5581925913481"
"216","Bristol","tree","1","18.9597327835512"
"217","Bristol","tree","2","53.5727984525774"
"218","Bristol","tree","3","15.0995058361906"
"219","Bristol","tree","4","38.8937168418475"
"220","Bristol","tree","5","62.3148418192857"
"221","Bristol","tree","6","81.7573590736449"
"222","Bristol","tree","7","98.5798286496561"
"223","Bristol","tree","8","110.27014372365"
"224","Bristol","tree","9","363.503192018481"
"225","Bristol","tree","10","355.344903105189"
"226","Bristol","tree","11","319.767196130618"
"227","Bristol","tree","12","301.478178305878"
"228","Bristol","tree","13","274.762369098082"
"229","Bristol","tree","14","181.288919001987"
"230","Bristol","tree","15","170.487628597586"
"231","Bristol","tree","16","167.724270016478"
"232","Bristol","tree","17","164.898722543458"
"233","Bristol","tree","18","159.639710279039"
"234","Bristol","tree","19","155.823856665232"
"235","Bristol","tree","20","153.396816904719"
"236","Bristol","tree","21","156.723922325087"
"237","Bristol","tree","22","41.2498576655783"
"238","Cardiff","info_board","1","444.791785471664"
"239","Cardiff","bollard","1","10.1947411809704"
"240","Cardiff","bollard","2","233.776683823911"
"241","Cardiff","bollard","3","230.328884263044"
"242","Cardiff","bollard","4","5.25917325418706"
"243","Cardiff","bollard","5","84.5178011762868"
"244","Cardiff","bollard","6","65.3470313817646"
"245","Cardiff","bollard","7","66.244005050714"
"246","Cardiff","bollard","8","45.0825480179802"
"247","Cardiff","bollard","9","1.94243638392582"
"248","Cardiff","bollard","10","103.875029306095"
"249","Cardiff","bollard","11","97.460912691193"
"250","Cardiff","bollard","12","262.322571888051"
"251","Cardiff","bollard","13","246.040902514253"
"252","Cardiff","bollard","14","322.990775827095"
"253","Cardiff","bollard","15","294.193190494263"
"254","Cardiff","bollard","16","193.808512711452"
"255","Cardiff","bollard","17","178.903417230196"
"256","Cardiff","bollard","18","8.39820806803312"
"257","Cardiff","crossing","1","142.297277918131"
"258","Cardiff","crossing","2","1.08943569265142"
"259","Cardiff","crossing","3","2.14848520533291"
"260","Cardiff","crossing","4","2.398451017263"
"261","Cardiff","crossing","5","2.0178364039308"
"262","Cardiff","crossing","6","272.935190630285"
"263","Cardiff","crossing","7","167.842889660093"
"264","Cardiff","crossing","8","162.081218174824"
"265","Cardiff","crossing","9","2.9788185235242"
"266","Cardiff","crossing","10","2.93231690770737"
"267","Cardiff","crossing","11","100.418044155665"
"268","Cardiff","crossing","12","127.826777700832"
"269","Cardiff","crossing","13","134.794941200097"
"270","Cardiff","crossing","14","141.83136172466"
"271","Cardiff","crossing","15","101.013214685986"
"272","Cardiff","crossing","16","106.260598361602"
"273","Cardiff","crossing","17","118.847442348952"
"274","Cardiff","crossing","18","85.7732391677522"
"275","Cardiff","crossing","19","157.254373386138"
"276","Cardiff","crossing","20","166.299771359601"
"277","Cardiff","crossing","21","176.55110849331"
"278","Cardiff","crossing","22","226.539262636092"
"279","Cardiff","crossing","23","257.003570493681"
"280","Cardiff","crossing","24","8.47508021425648"
"281","Cardiff","crossing","25","11.8826272373986"
"282","Cardiff","crossing","26","14.4118551420456"
"283","Cardiff","crossing","27","11.8719750943546"
"284","Cardiff","crossing","28","14.0396383857452"
"285","Cardiff","crossing","29","0.665399785401795"
"286","Cardiff","crossing","30","20.4480407068633"
"287","Cardiff","crossing","31","13.510159875494"
"288","Cardiff","crossing","32","55.176127478785"
"289","Cardiff","crossing","33","48.5311640345793"
"290","Cardiff","crossing","34","53.8423020242001"
"291","Cardiff","crossing","35","52.6544575411743"
"292","Cardiff","crossing","36","80.9049928438568"
"293","Cardiff","crossing","37","89.8369925110015"
"294","Cardiff","crossing","38","70.6643130144664"
"295","Cardiff","crossing","39","82.9201601207374"
"296","Cardiff","crossing","40","2.54905559179349"
"297","Cardiff","crossing","41","3.02727022584308"
"298","Cardiff","crossing","42","5.39340564654059"
"299","Cardiff","crossing","43","4.1299588193681"
"300","Cardiff","crossing","44","15.5612194782538"
"301","Cardiff","crossing","45","10.4587870563072"
"302","Cardiff","crossing","46","96.7537062887718"
"303","Cardiff","crossing","47","4.15105270155461"
"304","Cardiff","crossing","48","4.8060582469297"
"305","Cardiff","crossing","49","4.73001453571744"
"306","Cardiff","crossing","50","128.461988867739"
"307","Cardiff","crossing","51","8.34452415554618"
"308","Cardiff","crossing","52","116.613777228725"
"309","Cardiff","crossing","53","135.112284662881"
"310","Cardiff","crossing","54","135.395143707503"
"311","Cardiff","crossing","55","146.197673419415"
"312","Cardiff","crossing","56","1.06979080012595"
"313","Cardiff","crossing","57","165.73816311282"
"314","Cardiff","crossing","58","152.53112955668"
"315","Cardiff","crossing","59","247.913424874435"
"316","Cardiff","crossing","60","215.911912997967"
"317","Cardiff","crossing","61","223.442146412699"
"318","Cardiff","crossing","62","244.479614130303"
"319","Cardiff","entrance","1","318.400918599366"
"320","Cardiff","entrance","2","361.71562201645"
"321","Cardiff","entrance","3","674.890744437947"
"322","Cardiff","entrance","4","427.616540440262"
"323","Cardiff","entrance","5","337.969660229204"
"324","Cardiff","entrance","6","73.2026270549993"
"325","Cardiff","entrance","7","55.6626649110761"
"326","Cardiff","entrance","8","59.2785245889999"
"327","Cardiff","entrance","9","114.25093958388"
"328","Cardiff","entrance","10","313.709024655317"
"329","Cardiff","entrance","11","177.19021809182"
"330","Cardiff","entrance","12","7.49044838972242"
"331","Cardiff","entrance","13","31.7549024123493"
"332","Cardiff","entrance","14","395.794327559837"
"333","Cardiff","entrance","15","781.743488727658"
"334","Cardiff","outdoor_seating","1","1682.8877777122"
"335","Cardiff","outdoor_seating","2","1488.10419645904"
"336","Cardiff","outdoor_seating","3","1568.54261985028"
"337","Cardiff","outdoor_seating","4","1964.67877351392"
"338","Cardiff","outdoor_seating","5","1782.88808913934"
"339","Cardiff","outdoor_seating","6","1819.48596046939"
"340","Cardiff","outdoor_seating","7","1988.49000134861"
"341","Cardiff","outdoor_seating","8","2004.84641437218"
"342","Cardiff","outdoor_seating","9","2063.00857849885"
"343","Cardiff","outdoor_seating","10","2031.03419067896"
"344","Cardiff","outdoor_seating","11","2149.8737528964"
"345","Cardiff","outdoor_seating","12","2240.27438877967"
"346","Cardiff","outdoor_seating","13","1937.30052683007"
"347","Cardiff","outdoor_seating","14","1952.60052385041"
"348","Cardiff","outdoor_seating","15","903.794752792492"
"349","Cardiff","waste_basket","1","806.505436379089"
"350","Cardiff","waste_basket","2","155.690247440583"
"351","Cardiff","bench","1","775.944945000267"
"352","Cardiff","bench","2","444.331447869708"
"353","Cardiff","bench","3","439.860518513151"
"354","Cardiff","bench","4","414.485252182633"
"355","Cardiff","bench","5","781.760345938975"
